Rank,WSID,Overall,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
376,,Jermaine Gresham,ARI,TE53,9,257,354,300,40.4,,
377,,Chris Conley,KC,WR129,12,299,301,300,1,413,36
378,,Boston Scott,NO,RB102,6,208,445,301.7,102.9,359,-19
379,,Bruce Ellington,HOU,WR130,10,298,309,303.5,5.5,,
380,,Equanimeous St. Brown,GB,WR131,7,213,430,304.3,91.9,327,-53
381,,Miami Dolphins,,DST31,11,268,370,304.5,39,,
382,,Chandler Catanzaro,TB,K27,5,223,388,305.5,82.5,,
383,,Seth DeValve,CLE,TE54,11,301,317,309,8,,
384,,Braxton Miller,HOU,WR132,10,300,323,311.5,11.5,,
385,,Andre Holmes,BUF,WR133,11,244,352,314.3,49.8,,
386,,Roger Lewis,NYG,WR134,9,252,386,314.3,55.1,420,34
387,,Ito Smith,ATL,RB103,8,223,447,314.8,86.9,316,-71
388,,Demetrius Harris,KC,TE55,12,308,322,315,7,,
389,,Mack Hollins,PHI,WR135,9,243,373,315.3,54.1,362,-27
390,,Bo Scarbrough,DAL,RB104,8,218,434,315.5,77.6,296,-94
391,,Chris Moore,BAL,WR136,10,264,382,319,48.5,,
392,,Akrum Wadley,TEN,RB105,8,300,346,323,23,415,23
393,,Geoff Swaim,DAL,TE56,8,265,389,328.3,50.7,333,-60
394,,Kendrick Bourne,SF,WR137,11,213,398,333.7,85.4,418,24
395,,Brandon Coleman,FA,WR138,,324,353,338.5,14.5,,
396,,Niles Paul,JAC,TE57,9,328,353,340.5,12.5,,
397,,Jeff Heuerman,DEN,TE58,10,293,389,341,48,326,-71
398,,Lance Kendricks,GB,TE59,7,315,369,342,27,,
399,,Braedon Bowman,LAC,TE60,8,260,426,343,83,,
400,,Rhett Ellison,NYG,TE61,9,325,361,343,18,,
401,,Tyler Ervin,HOU,RB106,10,245,444,344.5,99.5,,
402,,J.D. McKissic,SEA,RB107,7,225,461,345.7,96.4,391,-11
403,,Wendell Smallwood,PHI,RB108,9,252,446,347.7,79.2,,
404,,Josh Reynolds,LAR,WR139,12,336,367,351.5,15.5,412,8
405,,Erik Swoope,IND,TE62,9,335,370,352.5,17.5,,
406,,Demarcus Robinson,KC,WR140,12,329,379,354,25,,
407,,Chris Herndon IV,NYJ,TE63,11,331,378,354.5,23.5,407,0
408,,Ryan Fitzpatrick,TB,QB39,5,226,573,358.3,153.2,351,-57
409,,Damien Williams,KC,RB109,12,273,460,358.3,77.2,,
410,,Justin Hardy,ATL,WR141,8,320,397,358.5,38.5,,
411,,Deonte Thompson,DAL,WR142,8,333,392,362.5,29.5,363,-48
412,,Cameron Artis-Payne,CAR,RB110,4,320,421,370.5,50.5,323,-89
413,,Breshad Perriman,BAL,WR143,10,352,400,376,24,,
414,,Benny Cunningham,CHI,RB111,5,332,427,379.5,47.5,,
415,,ArDarius Stewart,NYJ,WR144,11,384,397,390.5,6.5,,
416,,Jonathan Williams,NO,RB112,6,323,462,392.5,69.5,,
417,,Indianapolis Colts,,DST32,9,287,502,397.3,87.9,,
418,,Tajae Sharpe,TEN,WR145,8,394,406,400,6,,
419,,D.J. Foster,ARI,RB113,9,356,458,407,51,,
420,,Nick Foles,PHI,QB40,9,239,576,407.5,168.5,293,-127
421,,Tommy Bohanon,JAC,RB114,9,358,459,408.5,50.5,,
422,,Aaron Ripkowski,GB,RB115,7,355,474,414.5,59.5,,
423,,Patrick DiMarco,BUF,RB116,11,365,488,426.5,61.5,,
424,,Kerwynn Williams,KC,RB117,12,366,505,435.5,69.5,368,-56
425,,Marcus Murphy,BUF,RB118,11,380,498,439,59,,
426,,James Develin,NE,RB119,11,372,512,442,70,,
427,,Derek Watt,LAC,RB120,8,375,517,446,71,,
428,,Kapri Bibbs,WAS,RB121,4,357,547,452,95,248,-180
429,,Damiere Byrd,CAR,WR146,4,383,522,452.5,69.5,,
430,,Anthony Sherman,KC,RB122,12,398,508,453,55,,
431,,David Fluellen,TEN,RB123,8,396,529,462.5,66.5,,
432,,Devante Mays,GB,RB124,7,385,543,464,79,,
433,,Justin Davis,LAR,RB125,12,376,555,465.5,89.5,,
434,,Senorise Perry,MIA,RB126,11,393,540,466.5,73.5,,
435,,CJ Ham,MIN,RB127,10,401,535,468,67,,
436,,Brandon Bolden,NE,RB128,11,402,563,482.5,80.5,,
