Rank,WSID,Overall,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
85,,Marlon Mack,IND,RB32,9,41,147,90.5,20.2,84,-1
86,,Devante Parker,MIA,WR38,11,52,169,90.5,19.7,93,7
87,,Matthew Stafford,DET,QB9,6,58,140,86.1,15.2,101,14
88,,Marquise Goodwin,SF,WR39,11,48,135,93,18.5,94,6
89,,Duke Johnson,CLE,RB33,11,45,143,93.5,21.9,88,-1
90,,Will Fuller,HOU,WR40,10,63,140,94.8,17,71,-19
91,,Kerryon Johnson,DET,RB34,6,28,143,94.1,23.9,81,-10
92,,Isaiah Crowell,NYJ,RB35,11,53,148,96.5,19.3,87,-5
93,,Trey Burton,CHI,TE9,5,61,145,97,16.9,99,6
94,,Julian Edelman,NE,WR41,11,48,185,97.6,25.4,74,-20
95,,Tarik Cohen,CHI,RB36,5,53,180,98.7,20.6,76,-19
96,,Chris Thompson,WAS,RB37,4,47,237,98.5,28.3,117,21
97,,Andrew Luck,IND,QB10,9,48,173,94.4,25.2,90,-7
98,,Sterling Shepard,NYG,WR42,9,70,164,99.9,15.3,104,6
99,,Jordy Nelson,OAK,WR43,7,53,156,101.2,18.8,98,-1
100,,Jordan Reed,WAS,TE10,4,69,186,101.2,17.8,86,-14
101,,Ben Roethlisberger,PIT,QB11,7,63,126,96.1,15.6,103,2
102,,C.J. Anderson,CAR,RB38,4,47,175,102.6,23.9,109,7
103,,Jamaal Williams,GB,RB39,7,67,151,99.7,19.6,97,-6
104,,Carlos Hyde,CLE,RB40,11,58,186,104.5,23.3,91,-13
105,,Nelson Agholor,PHI,WR44,9,59,156,105,16.6,105,0
106,,Philip Rivers,LAC,QB12,8,61,144,101.1,16.6,111,5
107,,Jimmy Garoppolo,SF,QB13,11,59,147,102.2,19.1,100,-7
108,,Kelvin Benjamin,BUF,WR45,11,72,191,107.1,18.3,108,0
109,,Kenny Stills,MIA,WR46,11,52,189,107.1,24.2,120,11
110,,George Kittle,SF,TE11,11,73,160,114.1,19.5,118,8
111,,Jack Doyle,IND,TE12,9,73,241,117,26.1,112,1
112,,Matt Ryan,ATL,QB14,8,71,141,112,16.7,106,-6
113,,Rishard Matthews,TEN,WR47,8,83,181,113.5,19.3,146,33
114,,Marqise Lee,JAC,WR48,9,83,236,116,27.6,125,11
115,,Allen Hurns,DAL,WR49,8,54,231,117.4,30.9,115,0
116,,Jared Goff,LAR,QB15,12,76,154,116.3,16.9,110,-6
117,,Patrick Mahomes,KC,QB16,12,64,204,117.2,22.9,114,-3
118,,Marcus Mariota,TEN,QB17,8,70,187,118.1,21.5,123,5
119,,Ty Montgomery,GB,RB41,7,60,197,125.5,26.4,116,-3
120,,Nick Chubb,CLE,RB42,11,72,215,128,25.5,102,-18
121,,David Njoku,CLE,TE13,11,91,167,128.7,16.7,130,9
122,,Aaron Jones,GB,RB43,7,61,219,127.4,28.9,113,-9
123,,Alex Smith,WAS,QB18,4,66,170,129,19.6,126,3
124,,Giovani Bernard,CIN,RB44,9,89,194,127.8,22.5,134,10
125,,Josh Doctson,WAS,WR50,4,91,228,132.1,25,144,19
126,,Kenny Golladay,DET,WR51,6,94,212,134,26.3,147,21
127,,Dak Prescott,DAL,QB19,8,83,190,132.8,17.3,131,4
128,,Devontae Booker,DEN,RB45,10,87,223,134.7,28.6,132,4
129,,Cameron Meredith,NO,WR52,6,90,212,137.6,30.6,136,7
130,,O.J. Howard,TB,TE14,5,95,214,139.7,24.9,149,19
131,,DeSean Jackson,TB,WR53,5,94,223,135.6,26.6,165,34
132,,Theo Riddick,DET,RB46,6,97,210,138.8,20.2,148,16
133,,D.J. Moore,CAR,WR54,4,79,245,141.9,34.9,119,-14
134,,James White,NE,RB47,11,86,206,139.1,22.3,145,11
135,,Tyler Eifert,CIN,TE15,9,107,231,141.4,21.7,140,5
136,,Bilal Powell,NYJ,RB48,11,83,214,139.3,29.7,173,37
137,,Tyler Lockett,SEA,WR55,7,85,236,142.5,33.6,163,26
138,,Charles Clay,BUF,TE16,11,105,208,146.1,21.7,172,34
139,,Chris Carson,SEA,RB49,7,75,257,147.9,36.5,124,-15
140,,Jacksonville Jaguars,,DST1,9,113,344,146.3,33,107,-33
141,,Mohamed Sanu,ATL,WR56,8,92,242,143.2,28.7,171,30
142,,Eric Ebron,IND,TE17,9,62,201,146.5,24.9,177,35
143,,Cameron Brate,TB,TE18,5,95,267,149.1,26.4,169,26
144,,Corey Clement,PHI,RB50,9,97,199,146.8,24.5,137,-7
145,,Minnesota Vikings,,DST2,10,125,363,152.6,34.3,129,-16
146,,Blake Bortles,JAC,QB20,9,81,212,152.4,25.1,174,28
147,,Mitch Trubisky,CHI,QB21,5,77,211,154.6,21.8,156,9
148,,Dez Bryant,FA,WR57,,47,215,136.5,45.6,142,-6
149,,Derek Carr,OAK,QB22,7,88,226,155.3,22.7,127,-22
150,,Calvin Ridley,ATL,WR58,8,90,215,152.6,28.3,122,-28
151,,Anthony Miller,CHI,WR59,5,90,237,147.5,33.5,157,6
152,,Jared Cook,OAK,TE19,7,102,195,152.8,22.1,176,24
153,,Mike Williams,LAC,WR60,8,90,228,155.4,35.6,141,-12
154,,Philadelphia Eagles,,DST3,9,131,365,159.3,32.8,133,-21
155,,Paul Richardson,WAS,WR61,4,99,248,152.4,31,167,12
156,,Nyheim Hines,IND,RB51,9,86,244,152.6,35,139,-17
157,,D'Onta Foreman,HOU,RB52,10,71,249,157.1,33,138,-19
158,,Latavius Murray,MIN,RB53,10,94,209,158.3,25.1,158,0
159,,Eli Manning,NYG,QB23,9,90,215,160.2,24.2,159,0
160,,Los Angeles Rams,,DST4,12,125,373,161.8,35,121,-39
161,,Matt Breida,SF,RB54,11,107,225,159.8,27.5,160,-1
162,,Austin Seferian-Jenkins,JAC,TE20,9,103,253,165.2,30.9,161,-1
163,,Tyrell Williams,LAC,WR62,8,96,245,162.6,42.3,185,22
164,,Ted Ginn,NO,WR63,6,83,231,161.9,29.6,203,39
165,,Los Angeles Chargers,,DST5,8,134,367,166.3,32.6,153,-12
166,,Case Keenum,DEN,QB24,10,89,213,165.8,24.6,181,15
167,,Houston Texans,,DST6,10,136,388,169,34,151,-16
168,,Denver Broncos,,DST7,10,138,386,170.2,34.7,164,-4
169,,Dede Westbrook,JAC,WR64,9,87,247,165.3,37.3,178,9
170,,Doug Martin,OAK,RB55,7,103,212,164.3,30.7,150,-20
171,,LeGarrette Blount,DET,RB56,6,108,249,168,30.1,155,-16
172,,Martavis Bryant,OAK,WR65,7,111,255,166.6,31,154,-18
173,,Jameis Winston,TB,QB25,5,98,238,171.1,31.9,166,-7
174,,Peyton Barber,TB,RB57,5,114,245,171.3,31.3,188,14
175,,Ricky Seals-Jones,ARI,TE21,9,107,235,172.3,29.6,207,32
176,,Andy Dalton,CIN,QB26,9,95,254,172.6,27.7,184,8
177,,Frank Gore,MIA,RB58,11,110,228,169.2,25,205,28
178,,Chris Godwin,TB,WR66,5,74,234,174.4,34.2,179,1
179,,Michael Gallup,DAL,WR67,8,118,247,170.1,28.5,152,-27
180,,Benjamin Watson,NO,TE22,6,109,232,171.5,28,191,11
181,,Stephen Gostkowski,NE,K1,11,128,274,173.4,23.4,135,-46
182,,Baltimore Ravens,,DST8,10,140,375,177.6,33,162,-20
183,,Justin Tucker,BAL,K2,10,143,247,178.5,19.6,143,-40
184,,Kenneth Dixon,BAL,RB59,10,112,232,174.8,30.1,216,32
185,,Greg Zuerlein,LAR,K3,12,141,245,177.7,17.8,128,-57
186,,Austin Hooper,ATL,TE23,8,127,276,182.4,28.4,212,26
187,,Chris Ivory,BUF,RB60,11,107,268,177.6,35.4,221,34
188,,Donte Moncrief,JAC,WR68,9,82,246,183.5,37.5,231,43
189,,Vance McDonald,PIT,TE24,7,114,294,183.8,33,183,-6
190,,Tyrod Taylor,CLE,QB27,11,109,253,185.6,31.3,215,25
191,,Ryan Tannehill,MIA,QB28,11,91,251,187.9,28,218,27
192,,Quincy Enunwa,NYJ,WR69,11,105,249,187.6,35.1,251,59
193,,Mike Gesicki,MIA,TE25,11,121,274,181,33.2,168,-25
194,,Austin Ekeler,LAC,RB61,8,108,267,185.3,33.9,192,-2
195,,New Orleans Saints,,DST9,6,146,404,189.4,34.7,186,-9
196,,Jordan Wilkins,IND,RB62,9,109,300,181.1,42.3,175,-21
197,,Matt Bryant,ATL,K4,8,146,254,186.1,21.9,198,1
198,,T.J. Yeldon,JAC,RB63,9,115,250,179.5,29.9,210,12
199,,John Brown,BAL,WR70,10,119,254,190.4,31.8,256,57
200,,Danny Amendola,MIA,WR71,11,114,257,189.4,35.7,187,-13
201,,Mike Wallace,PHI,WR72,9,139,249,188.4,27.1,273,72
202,,Jordan Matthews,FA,WR73,,109,350,181.7,48,219,17
203,,Seattle Seahawks,,DST10,7,136,410,196.6,43,253,50
204,,Corey Coleman,BUF,WR74,11,103,274,197.8,41.7,252,48
205,,New England Patriots,,DST11,11,139,401,193,34.5,189,-16
206,,Christian Kirk,ARI,WR75,9,95,250,188.3,31.5,182,-24
207,,John Ross,CIN,WR76,9,113,263,188.5,42.3,199,-8
208,,Spencer Ware,KC,RB64,12,109,259,190.4,34.1,214,6
209,,Keelan Cole,JAC,WR77,9,132,246,190,27.7,190,-19
210,,Jermaine Kearse,NYJ,WR78,11,113,288,196.1,35.6,276,66
211,,Darren Sproles,PHI,RB65,9,134,242,187,25.4,261,50
212,,Wil Lutz,NO,K5,6,152,240,193.6,19.2,193,-19
213,,Pittsburgh Steelers,,DST12,7,157,387,198.8,32.8,206,-7
214,,Terrance Williams,DAL,WR79,8,119,258,199.9,37.3,275,61
215,,Carolina Panthers,,DST13,4,160,391,197.7,32.3,217,2
216,,Samaje Perine,WAS,RB66,4,107,342,193.6,42.1,224,8
217,,Cole Beasley,DAL,WR80,8,117,281,200.8,37.5,232,15
218,,Geronimo Allison,GB,WR81,7,128,344,197.9,34.1,200,-18
219,,Kansas City Chiefs,,DST14,12,151,418,207,39.6,245,26
220,,Albert Wilson,MIA,WR82,11,141,259,202.4,32.1,260,40
221,,Javorius Allen,BAL,RB67,10,95,255,195.2,32.1,222,1
222,,Jake Elliott,PHI,K6,9,164,257,201.5,22.8,204,-18
223,,Hayden Hurst,BAL,TE26,10,120,274,195.2,33.8,170,-53
224,,Ryan Grant,IND,WR83,9,121,272,204.8,35.7,303,79
225,,Matt Prater,DET,K7,6,163,250,201.8,20.1,233,8
226,,Terrelle Pryor,NYJ,WR84,11,128,256,204.7,32.6,238,12
227,,Brandon Marshall,SEA,WR85,7,134,270,203.2,37.4,289,62
228,,Dan Bailey,DAL,K8,8,151,278,205.1,27.1,213,-15
229,,Chicago Bears,,DST15,5,164,412,209.3,35.8,247,18
230,,Wayne Gallman,NYG,RB68,9,129,322,207.1,42.6,332,102
231,,Chris Boswell,PIT,K9,7,159,261,207.7,21.9,195,-36
232,,Luke Willson,DET,TE27,6,136,257,200.7,32.2,287,55
233,,Atlanta Falcons,,DST16,8,166,415,214.8,36.8,220,-13
234,,Arizona Cardinals,,DST17,9,158,433,213.5,40.9,229,-5
235,,Courtland Sutton,DEN,WR86,10,122,278,215.7,34.2,196,-39
236,,James Washington,PIT,WR87,7,124,271,212.5,31.1,225,-11
237,,Taywan Taylor,TEN,WR88,8,127,264,206.8,30.6,268,31
238,,Harrison Butker,KC,K10,12,166,262,209.7,22.4,209,-29
239,,Kalen Ballage,MIA,RB69,11,152,319,216.7,43.2,194,-45
240,,Tyler Kroft,CIN,TE28,9,75,276,208.6,58.4,302,62
241,,Sam Bradford,ARI,QB29,9,150,569,222.7,67.7,264,23
242,,Mason Crosby,GB,K11,7,166,259,212.1,21.6,226,-16
243,,C.J. Prosise,SEA,RB70,7,155,337,220.9,46.2,281,38
244,,Ameer Abdullah,DET,RB71,6,133,362,216.2,49.5,280,36
245,,Jonathan Stewart,NYG,RB72,9,148,282,209.3,27.8,265,20
246,,Dante Pettis,SF,WR89,11,153,264,214.4,29.5,234,-12
247,,Joe Flacco,BAL,QB30,10,158,279,212.5,24,249,2
248,,Eric Decker,NE,WR90,11,139,290,213.1,39.6,180,-68
249,,Brandon LaFell,FA,WR91,,148,252,204.7,39.6,354,105
250,,Zay Jones,BUF,WR92,11,174,262,216.3,25.9,290,40
251,,Jake Butt,DEN,TE29,10,158,285,221.9,34.2,250,-1
252,,Robbie Gould,SF,K12,11,166,263,215.7,24.4,230,-22
253,,Dallas Goedert,PHI,TE30,9,81,309,224.8,59.1,274,21
254,,Antonio Gates,FA,TE31,,159,194,171.8,14.4,297,43
255,,Elijah McGuire,NYJ,RB73,11,163,295,219.8,35.6,254,-1
256,,Brice Butler,ARI,WR93,9,137,298,227.1,40.8,357,101
257,,Gerald Everett,LAR,TE32,12,155,260,218.6,29.7,284,27
258,,Kai Forbath,MIN,K13,10,158,287,215.7,32.3,272,14
259,,Willie Snead,BAL,WR94,10,157,262,220.5,28.6,291,32
260,,Brandon McManus,DEN,K14,10,161,279,220.6,29.2,301,41
261,,Vernon Davis,WAS,TE33,4,176,275,217.9,25.6,288,27
262,,New York Giants,,DST18,9,171,456,228.1,50.4,295,33
263,,Tyler Higbee,LAR,TE34,12,102,303,227.6,70.2,372,109
264,,Blake Jarwin,DAL,TE35,8,103,349,238.8,75.2,310,46
265,,Curtis Samuel,CAR,WR95,4,154,291,226.3,48.1,343,78
266,,Green Bay Packers,,DST19,7,168,295,226.9,27.6,285,19
267,,Chester Rogers,IND,WR96,9,128,289,217.1,36.9,308,41
268,,Josh McCown,NYJ,QB31,11,163,570,237.3,76.1,319,51
269,,J.J. Nelson,ARI,WR97,9,178,263,224.1,26.9,361,92
270,,Tennessee Titans,,DST20,8,183,251,216.4,22.8,227,-43
271,,John Kelly,LAR,RB74,12,162,371,241.4,54,277,6
272,,Travis Benjamin,LAC,WR98,8,170,305,219.8,34.6,300,28
273,,Cincinnati Bengals,,DST21,9,182,278,229.3,25.5,328,55
274,,Corey Grant,JAC,RB75,9,159,313,232.2,35.7,311,37
275,,Rod Smith,DAL,RB76,8,169,327,238.1,40.7,317,42
276,,James Conner,PIT,RB77,7,175,332,231,43.5,259,-17
277,,Graham Gano,CAR,K15,4,177,293,221.3,22.2,239,-38
278,,Ed Dickson,SEA,TE36,7,171,258,219.5,22.8,298,20
279,,Chase Edmonds,ARI,RB78,9,174,310,229.5,31.3,255,-24
280,,Jesse James,PIT,TE37,7,155,277,231.1,39.3,348,68
281,,Trent Taylor,SF,WR99,11,160,262,221.3,23.5,309,28
282,,Steven Hauschka,BUF,K16,11,167,280,220.8,40.5,320,38
283,,Ka'imi Fairbairn,HOU,K17,10,170,267,215,28.8,246,-37
284,,Cairo Santos,NYJ,K18,11,169,297,236.1,35.8,243,-41
285,,Stephen Anderson,HOU,TE38,10,161,314,237.4,49.9,330,45
286,,Ryan Succop,TEN,K19,8,181,338,222.8,34.3,241,-45
287,,Keke Coutee,HOU,WR100,10,161,362,250,51.5,278,-9
288,,Jeremy Maclin,FA,WR101,,166,248,212.2,28.3,271,-17
289,,Tavon Austin,DAL,WR102,8,184,340,238.8,42.2,266,-23
290,,Tre'Quan Smith,NO,WR103,6,166,374,264.2,74.7,267,-23
291,,Adam Shaheen,CHI,TE39,5,179,308,232,34.7,331,40
292,,Mark Walton,CIN,RB79,9,170,416,262,85.7,334,42
293,,Adam Vinatieri,IND,K20,9,181,280,221.5,21.9,237,-56
294,,Adam Humphries,TB,WR104,5,170,284,241.7,36.6,377,83
295,,Richie James,SF,WR105,11,171,514,342.5,171.5,410,115
296,,Josh Lambo,JAC,K21,9,187,298,220.7,32.9,257,-39
297,,Jaylen Samuels,PIT,TE40,7,175,436,289.8,97.2,258,-39
298,,Detroit Lions,,DST22,6,187,285,233.2,34.8,223,-75
299,,Joe Williams,SF,RB80,11,176,422,258.7,61.7,307,8
300,,Kevin White,CHI,WR106,5,178,359,260.4,64.2,315,15
301,,Buffalo Bills,,DST23,11,181,324,240.5,37.4,312,11
302,,Alfred Blue,HOU,RB81,10,178,449,298,106.1,404,102
303,,Teddy Bridgewater,NYJ,QB32,11,178,575,307.3,156.7,341,38
304,,Robert Turbin,IND,RB82,9,179,432,281.8,83.9,384,80
305,,Mike Davis,SEA,RB83,7,187,413,259.9,75.2,,
306,,Deon Cain,IND,WR107,9,191,368,253.3,78.2,270,-36
307,,Lamar Jackson,BAL,QB33,10,181,574,255.7,102.9,201,-106
