Rank,Blank,Name,Pos,Team,Blank,Place,Place,Place,Place
108,,Jordy Nelson,WR,OAK,,7,10,47,465.5
109,,Chris Thompson,RB,WAS,,4,5,35,463.27
110,,Josh Doctson,WR,WAS,,4,2,38,461.3
111,,Delanie Walker,TE,TEN,,8,12,22,458.77
112,,Kerryon Johnson,RB,DET,,6,R,37,450.18
113,,Derek Carr,QB,OAK,,7,4,16,449.79
114,,Eli Manning,QB,NYG,,9,14,32,445.02
115,,Nelson Agholor,WR,PHI,,9,3,44,443.8
116,,Blake Bortles,QB,JAX,,9,4,27,442.62
117,,Case Keenum,QB,DEN,,10,5,30,439.24
118,,Jacksonville Jaguars,DEF,JAX,,9,--,1,438.08
119,,Jameis Winston,QB,TB,,5,3,13,437.58
120,,Duke Johnson,RB,CLE,,11,3,22,434.55
121,,DeSean Jackson,WR,TB,,5,10,80,434
122,,Andy Dalton,QB,CIN,,9,7,29,432.46
123,,Mitchell Trubisky,QB,CHI,,5,1,20,431.22
124,,Ryan Tannehill,QB,MIA,,11,6,31,427.2
125,,C.J. Anderson,RB,CAR,,4,5,36,426.91
126,,Kenny Golladay,WR,DET,,6,1,67,426.3
127,,Calvin Ridley,WR,ATL,,8,R,43,425.95
128,,Cameron Meredith,WR,NWO,,6,3,75,414.4
129,,Mike K. Williams,WR,LAC,,8,1,29,412.3
130,,D.J. Moore,WR,CAR,,4,R,46,410.9
131,,Tyler Lockett,WR,SEA,,7,3,81,410.9
132,,Los Angeles Rams,DEF,LAR,,12,--,3,408.24
133,,Devontae Booker,RB,DEN,,10,2,53,406.55
134,,Evan Engram,TE,NYG,,9,1,4,406.15
135,,Minnesota Vikings,DEF,MIN,,10,--,2,400.64
136,,Jimmy Graham,TE,GB,,7,8,11,399.38
137,,Philadelphia Eagles,DEF,PHI,,9,--,10,397.44
138,,Matt Breida,RB,SF,,11,--,61,396.36
139,,Anthony Miller,WR,CHI,,5,R,68,395.5
140,,Bilal Powell,RB,NYJ,,11,7,48,389.82
141,,Tyler Eifert,TE,CIN,,9,5,8,388.62
142,,Jordan Matthews,WR,NE,,11,4,52,385.35
143,,John Brown,WR,BAL,,10,4,61,383.95
144,,Mohamed Sanu,WR,ATL,,8,6,87,382.9
145,,Houston Texans,DEF,HOU,,10,--,5,382.4
146,,Ted Ginn Jr.,WR,NWO,,6,11,107,379.4
147,,Kyle Rudolph,TE,MIN,,10,7,15,379.08
148,,Ty Montgomery,RB,GB,,7,3,40,375.27
149,,D'Onta Foreman,RB,HOU,,10,1,38,374.55
150,,Rex Burkhead,RB,NE,,11,5,47,368.73
151,,Jack Doyle,TE,IND,,9,5,14,368
152,,Baltimore Ravens,DEF,BAL,,10,--,4,367.44
153,,Donte Moncrief,WR,JAX,,9,4,49,367.15
154,,Jordan Reed,TE,WAS,,4,5,9,364.92
155,,Joe Flacco,QB,BAL,,10,10,36,363.35
156,,Travis Benjamin,WR,LAC,,8,6,100,363.3
157,,Zay Jones,WR,BUF,,11,1,45,362.25
158,,Trey Burton,TE,CHI,,5,4,12,362.15
159,,Los Angeles Chargers,DEF,LAC,,8,--,15,360.32
160,,Danny Amendola,WR,MIA,,11,9,--,359.45
161,,Terrance Williams,WR,DAL,,8,5,--,358.75
162,,Chester Rogers,WR,IND,,9,--,--,358.05
163,,Theo Riddick,RB,DET,,6,5,57,355.27
164,,Sam Bradford,QB,ARZ,,9,8,34,353.61
165,,Denver Broncos,DEF,DEN,,10,--,7,352.96
166,,Terrelle Pryor,WR,NYJ,,11,7,72,352.1
167,,David Njoku,TE,CLE,,11,1,7,351.69
168,,Christian Kirk,WR,ARZ,,9,R,53,351.05
169,,Brandon LaFell,WR,CIN,,9,8,--,348.25
170,,Nyheim Hines,RB,IND,,9,R,--,345.82
171,,Martavis Bryant,WR,OAK,,7,4,25,345.45
172,,Frank Gore,RB,MIA,,11,13,68,344.73
173,,Carolina Panthers,DEF,CAR,,4,--,16,343.36
174,,Paul Richardson,WR,WAS,,4,4,106,343
175,,Aaron Jones,RB,GB,,7,1,39,342.55
176,,Jermaine Kearse,WR,NYJ,,11,6,95,341.95
177,,Kenneth Dixon,RB,BAL,,10,2,52,338.91
178,,Charles Clay,TE,BUF,,11,7,34,338.77
179,,Geronimo Allison,WR,GB,,7,2,--,337.4
180,,Tyrod Taylor,QB,CLE,,11,7,33,334.98
181,,New Orleans Saints,DEF,NWO,,6,--,8,334.72
182,,Latavius Murray,RB,MIN,,10,5,60,334.55
183,,Nick Chubb,RB,CLE,,11,R,25,332.36
184,,Albert Wilson,WR,MIA,,11,4,118,331.8
185,,Michael Gallup,WR,DAL,,8,R,63,329.35
186,,Pittsburgh Steelers,DEF,PIT,,7,--,18,327.2
187,,Tennessee Titans,DEF,TEN,,8,--,19,323.28
188,,New England Patriots,DEF,NE,,11,--,11,321.12
189,,Trent Taylor,WR,SF,,11,1,98,320.6
190,,Carlos Henderson,WR,DEN,,10,1,93,319.9
191,,George Kittle,TE,SF,,11,1,13,317.54
192,,Arizona Defense,DEF,ARZ,,9,--,13,317.52
193,,Jordan Wilkins,RB,IND,,9,R,--,317.09
194,,Chicago Bears,DEF,CHI,,5,--,6,315.6
195,,Green Bay Packers,DEF,GB,,7,--,17,312.88
196,,Seattle Seahawks,DEF,SEA,,7,--,--,312.32
197,,Eric Ebron,TE,IND,,9,4,18,312
198,,Miami Dolphins,DEF,MIA,,11,--,--,310.8
199,,Detroit Lions,DEF,DET,,6,--,--,306.88
200,,Atlanta Falcons,DEF,ATL,,8,--,12,306.8
201,,T.J. Yeldon,RB,JAX,,9,3,67,305.09
202,,Cameron Brate,TE,TB,,5,4,23,302.15
203,,Mike Wallace,WR,PHI,,9,9,96,299.95
204,,Spencer Ware,RB,KC,,12,5,56,297.45
205,,Austin Hooper,TE,ATL,,8,2,17,294.46
206,,Javorius Allen,RB,BAL,,10,3,105,292.73
207,,Austin Ekeler,RB,LAC,,8,--,76,291.27
208,,Austin Seferian-Jenkins,TE,JAX,,9,4,19,289.23
209,,LeGarrette Blount,RB,DET,,6,8,83,288.73
210,,Brandon Marshall,WR,SEA,,7,12,85,287.7
211,,Cincinnati Bengals,DEF,CIN,,9,--,20,286.16
212,,Charles Sims,RB,TB,,5,4,80,283.27
213,,John Ross,WR,CIN,,9,1,64,283.15
214,,Kansas City Chiefs,DEF,KC,,12,--,--,282.8
215,,Jared Cook,TE,OAK,,7,9,33,280
216,,Dallas Cowboys,DEF,DAL,,8,--,--,278.72
217,,Oakland Raiders,DEF,OAK,,7,--,--,278.24
218,,New York Giants,DEF,NYG,,9,--,--,277.76
219,,Cole Beasley,WR,DAL,,8,6,105,276.85
220,,Darren Sproles,RB,PHI,,9,13,--,272
221,,New York Jets,DEF,NYJ,,11,--,--,271.6
222,,Jalen Richard,RB,OAK,,7,2,99,271.27
223,,Tyrell Williams,WR,LAC,,8,3,60,269.15
224,,Ricky Seals-Jones,TE,ARZ,,9,1,29,265.23
225,,Josh McCown,QB,NYJ,,11,15,47,264.88
226,,Washington Redskins,DEF,WAS,,4,--,--,264.72
227,,Keelan Cole,WR,JAX,,9,--,91,264.25
228,,Tampa Bay Buccaneers,DEF,TB,,5,--,--,264.16
229,,Vance McDonald,TE,PIT,,7,5,37,264
230,,Doug Martin,RB,OAK,,7,6,55,262.55
231,,Chris Godwin,WR,TB,,5,1,74,261.45
232,,AJ McCarron,QB,BUF,,11,4,35,261.11
233,,Ben Watson,TE,NWO,,6,14,--,259.38
234,,Quincy Enunwa,WR,NYJ,,11,4,92,258.65
235,,Buffalo Bills,DEF,BUF,,11,--,9,258.32
236,,San Francisco 49ers,DEF,SF,,11,--,--,256.48
237,,James Washington,WR,PIT,,7,R,66,256.2
238,,Taylor Gabriel,WR,CHI,,5,4,116,252.7
239,,Cleveland Browns,DEF,CLE,,11,--,14,247.44
240,,O.J. Howard,TE,TB,,5,1,6,246.15
241,,Willie Snead,WR,BAL,,10,3,73,245.7
242,,Corey Coleman,WR,CLE,,11,2,31,239.75
243,,Corey Clement,RB,PHI,,9,1,63,233.82
244,,Indianapolis Colts,DEF,IND,,9,--,--,231.84
245,,C.J. Prosise,RB,SEA,,7,2,45,228.36
246,,Luke Willson,TE,DET,,6,5,--,220.92
247,,J.J. Nelson,WR,ARZ,,9,3,104,220.15
248,,DeAndre Washington,RB,OAK,,7,2,84,217.45
249,,Elijah McGuire,RB,NYJ,,11,1,49,214.91
250,,Jeremy Kerley,WR,BUF,,11,7,--,214.9
251,,Chris Carson,RB,SEA,,7,1,71,213.45
252,,Chase Edmonds,RB,ARZ,,9,R,--,213.45
253,,Mike Gesicki,TE,MIA,,11,R,20,205.85
254,,James Conner,RB,PIT,,7,1,79,205.82
255,,Josh Rosen,QB,ARZ,,9,R,23,200.29
256,,Travaris Cadet,RB,BUF,,11,6,--,198.91
257,,Peyton Barber,RB,TB,,5,2,74,198.18
258,,Jonathan Stewart,RB,NYG,,9,10,59,196.36
259,,Keke Coutee,WR,HOU,,10,R,--,196.35
260,,Taywan Taylor,WR,TEN,,8,1,99,196.35
261,,John Kelly,RB,LAR,,12,R,70,190.55
262,,D.J. Chark,WR,JAX,,9,R,86,189
263,,Ryan Griffin,TE,HOU,,10,5,--,186.77
264,,Jake Butt,TE,DEN,,10,1,36,183.38
265,,Chris Ivory,RB,BUF,,11,8,89,181.45
266,,Mike Gillislee,RB,NE,,11,5,62,181.45
267,,Hayden Hurst,TE,BAL,,10,R,30,181.23
268,,Joe Williams,RB,SF,,11,1,82,174.55
269,,Gerald Everett,TE,LAR,,12,1,21,170.77
270,,Nick Vannett,TE,SEA,,7,2,--,165.85
271,,Kyle Juszczyk,RB,SF,,11,5,--,157.82
272,,Wayne Gallman,RB,NYG,,9,1,86,149.82
273,,Laquon Treadwell,WR,MIN,,10,2,50,136.85
274,,Rod Smith,RB,DAL,,8,3,78,134.18
275,,Tyler Boyd,WR,CIN,,9,2,101,127.75
276,,Dede Westbrook,WR,JAX,,9,1,59,122.15
277,,DeAngelo Henderson,RB,DEN,,10,1,106,121.09
278,,Josh Allen,QB,BUF,,11,R,28,120.92
279,,Sam Darnold,QB,NYJ,,11,R,24,117.21
280,,Boston Scott,RB,NWO,,6,R,--,109.45
281,,Baker Mayfield,QB,CLE,,11,R,21,108.85
282,,Alfred Blue,RB,HOU,,10,4,--,86.18
283,,Malcolm Mitchell,WR,NE,,11,2,108,78.4
284,,Corey Grant,RB,JAX,,9,3,--,68.73
285,,Jacquizz Rodgers,RB,TB,,5,7,88,56
286,,Cameron Artis-Payne,RB,CAR,,4,3,--,54.91
287,,Trey Edmunds,RB,NWO,,6,1,--,54.18
288,,Malcolm Brown,RB,LAR,,12,3,--,53.09
289,,Robert Turbin,RB,IND,,9,6,--,52.36
290,,Lamar Jackson,QB,BAL,,10,R,22,36.11
291,,Terrance West,RB,BAL,,10,4,93,17.09
292,,Elijhaa Penny,RB,ARZ,,9,2,--,15.27
